"","pollster","name","number_siblings","hair_color"
"1","StudentA","Amber",0,"gray"
"2","StudentA","Julia",5,"blonde"
"3","StudentA","Nil",3,"gray"
"4","StudentA","Sandra",2,"white"
"5","StudentA","James",7,"brown"
"6","StudentA","Amber",2,"blonde"
"7","StudentA","Alex",0,"other"
"8","StudentA","Nil",0,"other"
"9","StudentA","James",4,"blonde"
"10","StudentB","Sandra",3,"white"
"11","StudentB","Julian",3,"other"
"12","StudentB","James",1,"black"
"13","StudentB","Alex",5,"red"
"14","StudentB","Sandra",2,"auburn"
"15","StudentB","Amber",7,"black"
"16","StudentB","Ethan",6,"blonde"
"17","StudentC","Ethan",1,"brown"
"18","StudentC","Nil",7,"other"
"19","StudentC","Julian",2,"white"
"20","StudentC","James",5,"white"
"21","StudentC","Ethan",6,"red"
"22","StudentC","Sandra",1,"gray"
"23","StudentD","Sandra",1,"gray"
